pu,do,osrm_distance_m,osrm_duration_s
2,45,22404.9,2142.7
2,46,38423.5,2618.3
2,47,35762.8,2197.8
2,48,26944.8,2257.8
2,49,17863.8,1686.1
2,50,27836.4,2320.7
3,26,41835.4,2756.6
3,27,44975.2,2965.9
3,28,21799.7,1455.6
3,29,43801.7,2734.7
3,30,35677.1,2557.5
3,31,4630.7,645.0
3,32,1645.0,212.2
3,33,32310.8,2197.3
3,34,29739.8,1991.1
3,35,28968.9,2016.6
3,36,24945.8,1731.0
3,37,26323.4,1896.9
3,38,23828.5,1478.3
3,39,35299.2,2222.1
3,40,35734.3,2348.2
3,41,15180.6,1255.4
3,42,12979.7,1153.8
3,43,18051.9,1569.0
3,44,71904.8,4054.8
3,45,26966.1,2093.3
3,46,7764.5,863.7
3,47,7893.0,725.4
3,48,22911.8,1635.3
3,49,30467.3,2069.8
3,50,22156.5,1586.9
4,26,16437.9,1340.9
4,27,25436.8,2460.6
4,28,21106.9,1488.5
4,29,21431.3,1670.5
4,30,23859.5,2471.2
4,31,23088.9,1907.6
4,32,22854.1,1710.0
4,33,6771.6,727.3
4,34,6129.1,753.9
4,35,11742.6,1283.6
4,36,8666.1,966.8
4,37,8318.7,933.2
4,38,29366.6,2017.5
4,39,14968.6,1663.1
4,40,10313.0,924.0
4,41,12399.5,1077.4
4,42,13956.9,1161.5
4,43,9614.0,897.0
4,44,51235.2,3179.2
4,45,4085.2,416.7
4,46,29645.5,2268.0
4,47,19295.1,1445.7
4,48,7263.3,674.0
4,49,7503.1,880.7
4,50,8159.9,742.7
5,26,24149.9,1945.9
5,27,38606.8,2874.8
5,28,50509.6,3408.1
5,29,27212.9,2006.1
5,30,44438.2,3511.7
5,31,59267.9,3778.9
5,32,61389.3,3678.2
5,33,29435.4,2131.3
5,34,32944.8,2415.1
5,35,31621.5,2609.2
5,36,37266.4,2758.5
5,37,36919.1,2724.9
5,38,54124.7,3604.9
5,39,33479.2,2689.7
5,40,27961.1,2115.5
5,41,43532.6,3468.9
5,42,56763.0,3453.2
5,43,40996.9,3265.8
5,44,13530.7,855.4
5,45,33082.3,2444.3
5,46,69527.2,4301.6
5,47,55474.0,3317.0
5,48,37531.0,2938.9
5,49,35008.7,2541.7
5,50,36768.9,2877.8
6,26,9792.1,797.8
6,27,24249.0,1726.7
6,28,36151.9,2260.0
6,29,12855.1,858.0
6,30,30080.4,2363.6
6,31,45703.9,3083.1
6,32,44530.5,2879.6
6,33,15077.6,983.2
6,34,18587.0,1267.0
6,35,17263.7,1461.1
6,36,22908.7,1610.4
6,37,22561.4,1576.8
6,38,39766.9,2456.8
6,39,19121.4,1541.6
6,40,13603.4,967.4
6,41,33084.7,2381.8
6,42,34642.1,2465.9
6,43,27742.6,2195.8
6,44,30053.7,1792.4
6,45,18724.6,1296.2
6,46,49914.0,3356.8
6,47,37711.3,2711.8
6,48,24276.8,1868.9
6,49,20650.9,1393.6
6,50,23514.6,1807.8
7,26,22241.7,1778.8
7,27,39200.6,2579.7
7,28,14770.6,1007.4
7,29,23620.4,2072.2
7,30,29902.4,2171.3
7,31,16600.1,1397.0
7,32,15426.7,1193.5
7,33,12717.1,1219.5
7,34,10146.0,1013.3
7,35,13970.9,1453.7
7,36,8865.9,995.8
7,37,10291.4,1070.3
7,38,23030.3,1536.4
7,39,17196.8,1833.2
7,40,16140.5,1370.4
7,41,8710.2,817.0
7,42,9348.7,870.4
7,43,8371.3,881.4
7,44,57039.1,3617.1
7,45,13857.9,1215.3
7,46,22218.1,1751.5
7,47,13492.2,1053.2
7,48,7899.1,733.0
7,49,10873.6,1092.0
7,50,8670.7,838.0
8,26,26356.9,1850.7
8,27,39174.1,2559.5
8,28,14744.1,987.2
8,29,27735.7,2144.1
8,30,29875.9,2151.1
8,31,15764.7,1296.6
8,32,14591.3,1093.1
8,33,16832.3,1291.4
8,34,14261.3,1085.2
8,35,15294.6,1481.7
8,36,11715.8,1020.2
8,37,14406.7,1142.2
8,38,23003.9,1516.2
8,39,29498.1,1815.7
8,40,20255.8,1442.3
8,41,7874.8,716.6
8,42,8513.3,770.0
8,43,9429.8,901.9
8,44,59947.6,3658.6
8,45,14264.4,1225.0
8,46,21382.7,1651.1
8,47,12656.8,952.8
8,48,8957.6,753.5
8,49,14988.8,1163.9
8,50,9729.2,858.5
9,26,32048.9,2042.0
9,27,31937.0,2237.9
9,28,5955.4,539.2
9,29,30763.5,2006.7
9,30,22638.8,1829.5
9,31,19930.9,1425.0
9,32,18757.6,1221.5
9,33,22524.3,1482.7
9,34,19953.3,1276.5
9,35,17431.5,1317.6
9,36,15159.3,1016.4
9,37,16536.9,1182.3
9,38,8511.4,748.1
9,39,22261.0,1494.1
9,40,25947.8,1633.6
9,41,21487.2,1455.6
9,42,22125.8,1509.0
9,43,21862.3,1583.5
9,44,66846.3,3880.3
9,45,21834.3,1494.9
9,46,19367.4,1474.0
9,47,18253.2,1088.3
9,48,21382.5,1427.4
9,49,20680.8,1355.2
9,50,22274.0,1490.3
10,26,21139.7,1668.8
10,27,22995.1,1675.2
10,28,4348.0,415.7
10,29,21821.6,1444.0
10,30,13696.9,1266.8
10,31,27415.2,1846.3
10,32,26241.8,1642.8
10,33,26470.0,1705.8
10,34,23898.9,1499.6
10,35,13192.4,979.3
10,36,13413.7,1164.7
10,37,14425.8,1171.4
10,38,6244.9,615.1
10,39,13319.1,931.4
10,40,22565.8,1713.6
10,41,24761.4,1625.5
10,42,25399.9,1678.9
10,43,25808.0,1806.6
10,44,63157.7,3722.1
10,45,25780.0,1718.0
10,46,28398.1,1930.1
10,47,25737.4,1509.6
10,48,25328.2,1650.5
10,49,17398.4,1520.9
10,50,26219.7,1713.4
11,26,4901.6,496.8
11,27,17186.3,1299.7
11,28,31264.8,1929.3
11,29,5792.4,431.0
11,30,23017.7,1936.6
11,31,43120.9,2991.9
11,32,41947.6,2788.4
11,33,12494.7,892.0
11,34,16004.1,1175.8
11,35,12885.5,1069.0
11,36,20325.8,1519.2
11,37,16858.2,1404.9
11,38,32704.2,2029.8
11,39,12174.5,1060.8
11,40,11020.5,876.2
11,41,30501.8,2290.6
11,42,32059.2,2374.7
11,43,25159.7,2104.6
11,44,37126.1,2239.3
11,45,16141.6,1205.0
11,46,47331.1,3265.6
11,47,35128.4,2620.6
11,48,21693.9,1777.7
11,49,12506.4,1164.7
11,50,20931.7,1716.6
12,26,11881.6,962.6
12,27,26299.7,2137.4
12,28,23771.1,1763.3
12,29,16875.1,1292.2
12,30,28843.3,2411.8
12,31,25606.1,2188.4
12,32,27640.3,2029.1
12,33,4520.5,565.4
12,34,5914.9,728.6
12,35,15705.1,1316.7
12,36,10528.0,1113.7
12,37,10180.6,1080.1
12,38,32030.8,2292.3
12,39,16601.7,1453.5
12,40,5756.7,545.7
12,41,17185.7,1396.5
12,42,18743.0,1480.6
12,43,11843.6,1210.5
12,44,46679.0,2800.9
12,45,2544.4,395.0
12,46,34431.6,2587.1
12,47,21812.3,1726.5
12,48,8377.7,883.6
12,49,8270.2,896.9
12,50,7615.6,822.5
